title,description,answer,type,category,priority,language,tag
Overtime calculation appears off for Charlotte Taylor," Employee Charlotte Taylor (ID EMP84499) reports clock-in problem at Call Center West. Phone +1-317-694-9152, email charlottetaylor254@example.com. GPS 43.779938,-79.225739. Issue started during night shift. Manager Jia Adams unable to appprove. Timesheet shows 9h instead of 9.5h. Device iPhone 12 (OS Android 14), appp v7.7.1, network Wi-Fi. Error code E_TIMEOUT. Ref:1500-953   ",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,low,en,Sync
Profile picture upload fails  Note: intermittent; occurs when switching from Wi-Fi to LTE.,"User Lena Anderson experienced an application crash on iPhone 14 Pro (OS iPadOS 17.4) when opening the Punch screen. Email lenaanderson552@acme.test / phone +1-362-208-2153. After MFA code 312452, the screen froze. Build v9.3.9, network Wi-Fi. Logs show error code E_TIMEOUT. Occurred yesterday 17:40. Ref:1990-733",Reset session token & invalidated stale refresh token; please sign out/in & confirm timesheet sync in 10 minutes.,Incident,Mobile App & UI issues,medium,en,Timesheet
Profile picture upload fails,"User Emily Collins experienced an application crash on Samsung Galaxy S22 (OS iOS 16.7) when opening the Approvals screen. Email emilycollins391@demo.co / phone +1-495-351-3759. After MFA code 308420, the screen froze. Build v8.7.0, network Corporate VPN. Logs show error code SYNC-409. Occurred today 08:15. Ref:40-378",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Problem,Mobile App & UI issues,high,en,DevicePolicy
Punch recorded twice for Liam Campbell  Impact: affects payroll cutoff if not resolved before Friday.," Employee Liam Campbell (ID EMP25688) reports clock-in problem at HQ Toronto. Phone +1-904-679-8608, email liamcampbell992@example.com. GPS 43.84127,-79.699525. Issue started around lunch break. Manager Hao Mitchell unable to approve. Timesheet shows 7.5h instead of 9.5h. Device iPad Mini (OS iPadOS 17.4), app v7.3.4, network 5G. Error code NPE-UI-22. Ref:1904-371   ","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,high,en,Login
Overtime calculation appears off for Emma Anderson,"Employee Emma Anderson (ID EMP62867) reports clock-in problem at HQ Toronto. Phone +1-678-292-3464, email emmaanderson709@sample.io. GPS 44.153088,-79.359614. Issue started end of quarter. Manager Bruna Rogers unable to approve. Timesheet shows 10h instead of 9h. Device iPhone 14 Pro (OS iOS 16.7), app v7.4.8, network 5G. Error code AUTH-401-MFA. Ref:1523-647",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,low,en,MFA
Geofencing blocks punch at Clinic North," Employee Layla Morgan (ID EMP53914) reports clock-in problem at Clinic North. Phone +1-795-694-9992, email laylamorgan582@sample.io. GPS 44.124213,-79.147196. Issue started around lunch break. Manager Avery Perez unable to approve. Timesheet shows 9h instead of 11h. Device iPhone 14 Pro (OS iPadOS 17.4), app v9.5.7, network 5G. Error code PUNCH-403. Ref:270-143   ",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Times & Attendance,medium,en,Timezone
Shift swap request not visible for team,"Employee Emile Moore (ID EMP69717) reports clock-in problem at Retail Store #214. Phone +1-220-343-3680, email emilemoore727@demo.co. GPS 43.692099,-79.189559. Issue started end of quarter. Manager Harper Martinez unable to approve. Timesheet shows 8h instead of 9h. Device iPhone 14 Pro (OS Android 14), app v9.4.4, network Wi-Fi. Error code E_TIMEOUT. Ref:1534-154",Cleared appp cache and forced a re-sync; verify location services and try again near site perimeter.,Question,Times & Attendance,low,en,Punch
Kiosk PIN rejected for Emile Campbell,"Employee Joao Sanchez (ID EMP56154) reports clock-in problem at Clinic North. Phone +1-934-309-4730, email joaosanchez497@contoso.com. GPS 43.93544,-79.332114. Issue started end of quarter. Manager Emile Anderson unable to approve. Timesheet shows 8h instead of 7h. Device Pixel 7 (OS iOS 16.7), app v7.9.7, network LTE. Error code E_TIMEOUT. Ref:461-365  Additional context: user cleared cache and rebooted.","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,low,en,Session
Shift swap request not visible for team,Employee Evelyn Miller (ID EMP85909) reports clock-in problem at Warehouse A. Phone +1-400-242-...,Cleared app cache & forced a re-sync; verify location services & try again near site perimeter.,Incident,Times & Attendance,urgent,en,Login
Clock-in failed for Harper Collins at Clinic North,"Employee Harper Collins (ID EMP72299) reports clock-in problem at Clinic North. Phone +1-612-968-5971, email harpercollins867@demo.co. GPS 43.680179,-79.256602. Issue started since last Friday. Manager Harper Bell unable to approve. Timesheet shows 7.5h instead of 8.5h. Device Pixel 7 (OS iOS 16.7), app v10.8.0, network Corporate VPN. Error code SYNC-409. Ref:82-291",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,medium,en,Wallet
Clock-in failed for Harper Nelson at Call Center West,"Employee Harper Nelson (ID EMP47245) reports clock-in problem at Call Center West. Phone +1-414-227-5389, email harpernelson100@demo.co. GPS 44.084155,-79.520279. Issue started yesterday 17:40. Manager Aiden Brown unable to approve. Timesheet shows 8.5h instead of 7.5h. Device iPhone 12 (OS Android 13), app v7.9.2, network LTE. Error code E_TIMEOUT. Ref:1087-197",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Request,Times & Attendance,medium,en,Wallet
Kiosk PIN rejected for Aarav White,Employee Aarav White (ID EMP80547) reports clock-in problem ...,Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,low,en,Sync
Timesheet not updating hours for Oliver Garcia  Impact: affects payroll cutoff if not resolved before Friday.,"Employee Oliver Garcia (ID EMP61517) reports clock-in problem at HQ Toronto. Phone +1-790-392-5392, email olivergarcia569@contoso.com. GPS 44.006793,-79.642077. Issue started yesterday 17:40. Manager Mason Perez unable to approve. Timesheet shows 8.5h instead of 9.5h. Device Samsung Galaxy S22 (OS iOS 17.4), app v9.5.6, network Wi-Fi. Error code APP-5001. Ref:1564-655",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,medium,en,PayrollCutoff
Schedule missing shifts for Chloe Walker,"Employee Chloe Walker (ID EMP64606) reports clock-in problem at Distribution East. Phone +1-413-977-6700, email chloewalker165@contoso.com. GPS 44.141709,-79.262301. Issue started during night shift. Manager Mateo King unable to approve. Timesheet shows 8h instead of 7h. Device iPhone 14 Pro (OS iOS 16.7), app v9.8.2, network 5G. Error code AUTH-401-MFA. Ref:1243-635",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,urgent,en,PDFExport
Wallet screen blank after update,"User Lucas Taylor experienced an application crash on Galaxy A54 (OS Android 14) when opening teh Timesheet screen. Email lucastaylor445@fabrikam.org / phone +1-725-510-4240. After MFA code 777338, teh screen froze. Build v9.0.0, network Corporate VPN. Logs show error code E_TIMEOUT. Occurred around lunch break. Ref:459-580  Note: intermittent; occurs when switching from Wi-Fi to LTE.",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Request,Mobile App & UI issues,low,en,Overtime
Schedule missing shifts for Daniel Moore  Additional context: user cleared cache and rebooted.,"Employee Daniel Moore (ID EMP24111) reports clock-in problem at Call Center West. Phone +1-422-694-7555, email danielmoore287@contoso.com. GPS 43.619383,-79.114412. Issue started during night shift. Manager Logan Campbell unable to approve. Timesheet shows 8.5h instead of 10.5h. Device OnePlus 10 (OS iPadOS 17.4), app v7.4.9, network 5G. Error code E_TIMEOUT. Ref:531-304  Note: intermittent; occurs when switching from Wi-Fi to LTE.",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,high,en,Geofence
App crashes on launch for Maxime Campbell (Pixel 7),"User Maxime Campbell experienced an application crash on Pixel 7 (OS Android 13) when opening the Schedule screen. Email maximecampbell828@contoso.com / phone +1-343-232-2005. After MFA code 308713, the screen froze. Build v8.5.6, network Wi-Fi. Logs show error code NPE-UI-22. Occurred today 08:15. Ref:1901-226",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Question,Mobile App & UI issues,high,en,UI-Bug
"Shift swap request not visible for team  Steps tried: reinstall, toggled airplane mode, switched networks.","Employee Miguel Taylor (ID EMP26963) reports clock-in problem at Call Center West. Phone +1-262-534-4455, email migueltaylor249@fabrikam.org. GPS 43.782423,-79.347923. Issue started today 08:15. Manager Ethan Collins unable to approve. Timesheet shows 7.5h instead of 9.5h. Device Pixel 7 (OS Android 13), app v8.4.0, network Corporate VPN. Error code AUTH-401-MFA. Ref:1041-682",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Question,Times & Attendance,low,en,Crash
Dark mode hides text on Settings screen,"User Felix Phillips experienced an application crash on Samsung Galaxy S22 (OS iPadOS 17.4) when opening teh Settings screen. Email felixphillips73@acme.test / phone +1-802-729-4499. After MFA code 368156, teh screen froze. Build v9.3.5, network 5G. Logs show error code NPE-UI-22. Occurred today 08:15. Ref:1083-679","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Mobile App & UI issues,medium,en,Login
Push notifications missing for Oliver Lopez...,"User Oliver Lopez experienced an appplication crash on iPhone 12 (OS Android 13) when opening the Timesheet screen. Email oliverlopez431@contoso.com / phone +1-721-459-8515. After MFA code 767647, the screen froze. Build v9.4.1, network 5G. Logs show error code CRASH-09. Occurred end of quarter. Ref:211-628",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Question,Mobile App & UI issues,high,en,Kiosk
"Timesheet not updating hours for Lucas Evans  Steps tried: reinstall, toggled airplane mode, switched networks.","Employee Lucas Evans (ID EMP40698) reports clock-in problem at Office NYC. Phone +1-796-350-2035, email lucasevans519@acme.test. GPS 44.047822,-79.529321. Issue started during night shift. Manager Jack Scott unable to approve. Timesheet shows 10h instead of 12h. Device iPad Mini (OS Android 13), app v7.3.5, network Corporate VPN. Error code NPE-UI-22. Ref:618-653","Enabled background refresh & pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,low,en,Sync
Buttons overlap on small screen — UI layout bug," User Isha Smith experienced an application crash on Galaxy A54 (OS iOS 16.7) when opening teh Approvals screen. Email ishasmith240@acme.test / phone +1-805-817-6295. After MFA code 713548, teh screen froze. Build v7.1.9, network LTE. Logs show error code APP-5001. Occurred during night shift. Ref:1796-613   ",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Mobile App & UI issues,low,en,Punch
Shift swap request not visible for team,"Employee Joao Edwards (ID EMP28522) reports clock-in problem at Office NYC. Phone +1-692-548-7053, email joaoedwards908@fabrikam.org. GPS 43.71907,-79.433796. Issue started after daylight saving change. Manager Ethan Martinez unable to approve. Timesheet shows 8.5h instead of 9.5h. Device iPhone 12 (OS Android 14), app v8.3.5, network Wi-Fi. Error code AUTH-401-MFA. Ref:507-584",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Request,Times & Attendance,high,en,DevicePolicy
Slow loading of schedule on Corporate VPN...,"User Evelyn Adams experienced an appplication crash on Pixel 7 (OS Android 14) when opening the Approvals screen. Email evelynadams913@contoso.com / phone +1-313-712-5302. After MFA code 243259, the screen froze. Build v9.9.8, network Corporate VPN. Logs show err0r code NPE-UI-22. Occurred after update this morning. Ref:1402-632",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Incident,Mobile App & UI issues,medium,en,Wallet
Overtime calculation appears off for Zoe Smith,"Employee Zoe Smith (ID EMP78945) reports clock-in problem at Office NYC. Phone +1-825-446-9336, email zoesmith948@acme.test. GPS 44.087168,-79.297709. Issue started since last Friday. Manager Elijah Phillips unable to approve. Timesheet shows 8h instead of 10h. Device OnePlus 10 (OS iPadOS 17.4), app v10.2.0, network Wi-Fi. Error code SYNC-409. Ref:150-984",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Incident,Times & Attendance,low,en,Session
Clock-in failed for Liam Davis at Warehouse A," Employee Liam Davis (ID EMP40658) reports clock-in problem at Warehouse A. Phone +1-568-330-2727, email liamdavis343@example.com. GPS 43.726779,-79.54706. Issue started around lunch break. Manager Maxime Anderson unable to approve. Timesheet shows 9h instead of 9.5h. Device Samsung Galaxy S22 (OS Android 13), app v10.2.6, network Wi-Fi. Error code CRASH-09. Ref:492-166   ",Expanded geofence radius to 200m & updated kiosk firmware to v3.2.1; retry the punch.,Request,Times & Attendance,low,en,Biometric
Clock-in failed for Jia Martinez at Warehouse A  Impact: affects payroll cutoff if not resolved before Friday.,"Employee Jia Martinez (ID EMP46972) reports clock-in problem at Warehouse A. Phone +1-953-634-5068, email jiamartinez34@acme.test. GPS 43.668159,-79.177506. Issue started after daylight saving change. Manager Ana Hill unable to approve. Timesheet shows 7.5h instead of 9.5h. Device iPhone 14 Pro (OS Android 14), app v7.3.3, network LTE. Error code SYNC-409. Ref:462-981",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,high,en,TimeOff
Overtime calculation appears off for Mia Scott  Observed that sync completes after 10–15 min then reverts.,"Employee Mia Scott (ID EMP50007) reports clock-in problem at Clinic North. Phone +1-635-727-6525, email miascott42@mailinator.com. GPS 44.146569,-79.188822. Issue started today 08:15. Manager Ethan Parker unable to approve. Timesheet shows 10h instead of 11h. Device OnePlus 10 (OS iPadOS 17.4), app v10.5.9, network Corporate VPN. Error code SYNC-409. Ref:1056-518","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Problem,Times & Attendance,low,en,Session
Geofencing blocks punch at HQ Toronto,"Employee Ethan King (ID EMP50131) reports clock-in problem at HQ Toronto. Phone +1-325-493-2004, email ethanking343@sample.io. GPS 43.778761,-79.179053. Issue started after update this morning. Manager Marta Rogers unable to approve. Timesheet shows 8.5h instead of 7.5h. Device Samsung Galaxy S22 (OS iOS 17.4), app v8.2.1, network LTE. Error code SYNC-409. Ref:1427-556",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Problem,Times & Attendance,medium,en,UI-Bug
Overtime calculation apppears off for Mateo Carter,Employee Mateo Carter (ID EMP55475) reports clock-in problem at Clinic North. Phone...,Reset session token & invalidated stale refresh token; please sign out/in & confirm timesheet sync in 10 minutes.,Request,Times & Attendance,low,en,DevicePolicy
Schedule missing shifts for Amelia Taylor  Additional context: user cleared cache and rebooted.,"Employee Amelia Taylor (ID EMP92792) reports clock-in problem at Call Center West. Phone +1-292-381-5929, email ameliataylor252@acme.test. GPS 43.743614,-79.467083. Issue started after daylight saving change. Manager Chloe Campbell unable to approve. Timesheet shows 10h instead of 11h. Device Pixel 7 (OS Android 14), app v10.4.6, network Corporate VPN. Error code NPE-UI-22. Ref:1491-628",Corrected pay policy rule for overtime after 40h; retro calculation queued & will reflect before payroll cutoff.,Incident,Times & Attendance,low,en,Session
Wallet screen blank after update," User Emily Hall experienced an application crash on Pixel 7 (OS Android 13) when opening the Timesheet screen. Email emilyhall437@sample.io / phone +1-459-540-1785. After MFA code 247943, the screen froze. Build v8.7.1, network Corporate VPN. Logs show error code NPE-UI-22. Occurred since last Friday. Ref:155-530   ",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Mobile App & UI issues,medium,en,TimeOff
Clock-in failed for Liam Gonzalez at Clinic North,"Employee Liam Gonzalez (ID EMP89995) reports clock-in problem at Clinic North. Phone +1-281-933-9806, email liamgonzalez309@example.com. GPS 43.725853,-79.578804. Issue started around lunch break. Manager Isha Miller unable to approve. Timesheet shows 8h instead of 9h. Device Samsung Galaxy S22 (OS iOS 17.4), app v8.0.2, network Corporate VPN. Error code CRASH-09. Ref:1249-748",Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry the punch.,Incident,Times & Attendance,low,en,TimeOff
Push notifications missing for Isabella Evans,"User Isabella Evans experienced an appplication crash on Pixel 8 (OS iOS 16.7) when opening the Approvals screen. Email isabellaevans95@contoso.com / phone +1-296-887-8530. After MFA code 932545, the screen froze. Build v7.3.5, network LTE. Logs show error code AUTH-401-MFA. Occurred after update this morning. Ref:1256-544",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Mobile App & UI issues,urgent,en,Timesheet
Clock-in failed for Evelyn Edwards at Warehouse A  Additional context: user cleared cache and rebooted.,"Employee Evelyn Edwards (ID EMP54805) reports clock-in problem at Warehouse A. Phone +1-538-561-6731, email evelynedwards971@fabrikam.org. GPS 43.617506,-79.192377. Issue started today 08:15. Manager Marta Wright unable to approve. Timesheet shows 8h instead of 9h. Device Pixel 8 (OS Android 13), app v10.9.8, network Wi-Fi. Error code NPE-UI-22. Ref:971-317",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,low,en,PayrollCutoff
Clock-in failed for Luca Scott at Offic...,"Employee Luca Scott (ID EMP17379) reports clock-in problem at Office NYC. Phone +1-952-874-9413, email lucascott356@fabrikam.org. GPS 43.920587,-79.130254. Issue started during night shift. Manager Hao Moore unable to approve. Timesheet shows 8.5h instead of 10.5h. Device Samsung Galaxy S22 (OS iPadOS 17.4), app v9.7.0, network LTE. Error code E_TIMEOUT. Ref:920-816","Enabled background refresh and pushed appp config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,urgent,en,Sync
App crashes on launch for Oliver Turner (iPhone 12),"User Oliver Turner experienced an appplication crash on iPhone 12 (OS iOS 16.7) when opening the Timesheet screen. Email oliverturner664@sample.io / phone +1-485-374-2178. After MFA code 865511, the screen froze. Build v10.3.2, network 5G. Logs show error code SYNC-409. Occurred since last Friday. Ref:1706-400",Re-enabled push notifications at OS level & refreshed device token; test a sample alert from Notifications Center.,Incident,Mobile App & UI issues,medium,en,ShiftSwap
Push notifications missing for Luca Parker,"User Luca Parker experienced an application crash on iPhone 14 Pro (OS iOS 16.7) when opening the Approvals screen. Email lucaparker432@fabrikam.org / phone +1-699-862-9884. After MFA code 114363, the screen froze. Build v8.5.2, network Corporate VPN. Logs show error code CRASH-09. Occurred end of quarter. Ref:1262-783",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Incident,Mobile App & UI issues,medium,en,Crash
Clock-in failed for Liam Rogers at Warehouse A, Employee Liam Rogers (ID EMP432...   ,Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,low,en,Biometric
"Schedule missing shifts for Emma Johnson  Steps tried: reinstall, toggled airplane mode, switched networks.","Employee Emma Johnson (ID EMP29327) reports clock-in problem at Call Center West. Phone +1-403-980-5860, email emmajohnson936@acme.test. GPS 43.834547,-79.50557. Issue started today 08:15. Manager Luca Martinez unable to approve. Timesheet shows 8.5h instead of 9.0h. Device Pixel 8 (OS Android 14), app v8.8.7, network 5G. Error code AUTH-401-MFA. Ref:1502-536","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,low,en,Wallet
Clock-in failed for Miguel Thomas at Retail Store #214,"Employee Miguel Thomas (ID EMP64173) reports clock-in problem at Retail Store #214. Phone +1-448-990-4664, email miguelthomas454@sample.io. GPS 43.738881,-79.523699. Issue started yesterday 17:40. Manager Neha Reed unable to approve. Timesheet shows 8.5h instead of 10.5h. Device OnePlus 10 (OS iPadOS 17.4), app v7.0.9, network 5G. Error code NPE-UI-22. Ref:1539-269  Impact: affects payroll cutoff if not resolved before Friday.",Corrected pay policy rule for overtime after 40h; retro calculation queued and will reflect before payroll cutoff.,Question,Times & Attendance,low,en,DevicePolicy
Clock-in failed for Ana Turner at Retail Store #214,"Employee Ana Turner (ID EMP97701) reports clock-in problem at Retail Store #214. Phone +1-305-992-7305, email anaturner318@demo.co. GPS 43.680795,-79.164372. Issue started end of quarter. Manager Mateo Collins unable to approve. Timesheet shows 7.5h instead of 8.0h. Device Galaxy A54 (OS Android 14), app v10.3.2, network Wi-Fi. Error code CRASH-09. Ref:1142-931",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,medium,en,Punch
Clock-in failed for Lucas Anderson at Retail Store #214,"Employee Lucas Anderson (ID EMP26330) reports clock-in problem at Retail Store #214. Phone +1-619-457-9161, email lucasanderson360@demo.co. GPS 43.640357,-79.532058. Issue started after daylight saving change. Manager Aarav Martinez unable to appprove. Timesheet shows 9h instead of 9.5h. Device Galaxy A54 (OS iPadOS 17.4), appp v9.7.1, network Wi-Fi. Error code E_TIMEOUT. Ref:1266-422","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,low,en,Biometric
Schedule missing shifts for Marta Perez...,"Employee Marta Perez (ID EMP67749) reports clock-in problem at Distribution East. Phone +1-825-977-2354, email martaperez129@fabrikam.org. GPS 43.666718,-79.280843. Issue started after daylight saving change. Manager Leo Campbell unable to approve. Timesheet shows 7.5h instead of 6.5h. Device iPad Mini (OS Android 13), app v9.6.6, network Wi-Fi. Error code AUTH-401-MFA. Ref:650-371",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,low,en,DevicePolicy
Shift swap request not visible for team," Employee Oliver Green (ID EMP10836) reports clock-in problem at HQ Toronto. Phone +1-935-766-1920, email olivergreen112@mailinator.com. GPS 44.013031,-79.228447. Issue started since last Friday. Manager Luis Jackson unable to approve. Timesheet shows 10h instead of 11h. Device Pixel 8 (OS iPadOS 17.4), app v10.1.3, network Corporate VPN. Error code CRASH-09. Ref:1064-751   ",Cleared app cache and forced a re-sync; verify location services and try again near site perimeter.,Request,Times & Attendance,low,en,Slow
Kiosk PIN rejected for Sophia Martinez,Employee Sophia Martinez (ID EMP99093) reports clock-in ...,Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Incident,Times & Attendance,low,en,Punch
Schedule missing shifts for Marco Wright...,"Employee Marco Wright (ID EMP65972) reports clock-in problem at Clinic North. Phone +1-396-989-4780, email marcowright870@example.com. GPS 44.181283,-79.156278. Issue started yesterday 17:40. Manager Sophia Reed unable to approve. Timesheet shows 9h instead of 10h. Device Pixel 8 (OS Android 14), app v10.6.1, network Wi-Fi. Error code PUNCH-403. Ref:129-745","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,medium,en,Timezone
Kiosk PIN rejected for Daniel Moore...,"Employee Daniel Moore (ID EMP14037) reports clock-in problem at Plant 3 - Dock. Phone +1-367-670-6693, email danielmoore202@demo.co. GPS 43.99339,-79.589229. Issue started around lunch break. Manager Luca Evans unable to approve. Timesheet shows 9h instead of 8h. Device iPhone 12 (OS iOS 16.7), app v9.1.7, network Corporate VPN. Error code APP-5001. Ref:1213-461",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Request,Times & Attendance,high,en,DevicePolicy
Shift swap request not visible for team," Employee Jonas Sanchez (ID EMP84905) reports clock-in problem at Call Center West. Phone +1-527-959-3946, email jonassanchez406@mailinator.com. GPS 43.963219,-79.492476. Issue started during night shift. Manager Hao Parker unable to approve. Timesheet shows 10h instead of 12h. Device Pixel 8 (OS Android 13), app v10.1.2, network 5G. Error code E_TIMEOUT. Ref:1760-668  Note: intermittent; occurs when switching from Wi-Fi to LTE.   ",Cleared appp cache and forced a re-sync; verify location services and try again near site perimeter.,Question,Times & Attendance,medium,en,TimeOff
Buttons overlap on small screen — UI layout bug,"User Lena Turner experienced an application crash on Galaxy A54 (OS iOS 17.4) when opening the Login screen. Email lenaturner971@contoso.com / phone +1-312-849-8634. After MFA code 369528, the screen froze. Build v7.7.4, network 5G. Logs show error code APP-5001. Occurred since last Friday. Ref:485-986",Re-enabled push notifications at OS level & refreshed device token; test a sample alert from Notifications Center.,Incident,Mobile App & UI issues,low,en,Cache
Schedule missing shifts for I...,Employee Isabella Reed (ID EMP48657) reports clock-in problem at Retail Store #214. Phon...,Expanded geofence radius to 200m and updated kiosk firmware to v3.2.1; retry teh punch.,Incident,Times & Attendance,low,en,Cache
Schedule missing shifts for Jia Turner,"Employee Jia Turner (ID EMP69355) reports clock-in problem at Plant 3 - Dock. Phone +1-508-373-7002, email jiaturner290@contoso.com. GPS 44.160862,-79.419702. Issue started end of quarter. Manager Lena Scott unable to approve. Timesheet shows 10h instead of 12h. Device Samsung Galaxy S22 (OS iOS 16.7), app v10.8.5, network 5G. Error code HTTP 504. Ref:1288-549",Re-enabled push notifications at OS level and refreshed device token; test a sample alert from Notifications Center.,Problem,Times & Attendance,medium,en,DevicePolicy
Overtime calculation apppears off for Luca Gonzalez,"Employee Luca Gonzalez (ID EMP75988) reports clock-in problem at HQ Toronto. Phone +1-273-628-4468, email lucagonzalez729@mailinator.com. GPS 43.750016,-79.210082. Issue started during night shift. Manager Daniel Lee unable to approve. Timesheet shows 10h instead of 11h. Device iPad Mini (OS iPadOS 17.4), app v10.5.8, network Wi-Fi. Error code CRASH-09. Ref:140-903  Steps tried: reinstall, toggled airplane mode, switched networks.","Enabled background refresh and pushed appp config policy. If crash persists, send diagnostics via Settings -> Support.",Request,Times & Attendance,low,en,Crash
Buttons overlap on small screen — UI layout bug," User Hao Mitchell experienced an application crash on Samsung Galaxy S22 (OS iOS 17.4) when opening teh Schedule screen. Email haomitchell789@demo.co / phone +1-511-860-2469. After MFA code 975816, teh screen froze. Build v9.7.0, network LTE. Logs show error code AUTH-401-MFA. Occurred yesterday 17:40. Ref:450-310   ",Cleared appp cache and forced a re-sync; verify location services and try again near site perimeter.,Question,Mobile App & UI issues,low,en,Slow
Shift swap request not visible for team...,Employee Oliver Taylor (ID EMP90761) reports clock-in problem at Distribution ...,"Enabled background refresh and pushed appp config policy. If crash persists, send diagnostics via Settings -> Support.",Incident,Times & Attendance,high,en,Punch
Shift swap request not visible for team,"Employee Elijah Morgan (ID EMP49775) reports clock-in problem at Warehouse A. Phone +1-647-797-8952, email elijahmorgan700@mailinator.com. GPS 43.611442,-79.287224. Issue started yesterday 17:40. Manager Henry Lee unable to approve. Timesheet shows 8h instead of 9h. Device iPhone 12 (OS Android 13), app v7.9.6, network LTE. Error code NPE-UI-22. Ref:1602-548",Reset session token & invalidated stale refresh token; please sign out/in & confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,low,en,Kiosk
Kiosk PIN rejected for Bruna Wright,"Employee Bruna Wright (ID EMP96404) reports clock-in problem at Warehouse A. Phone +1-496-920-2004, email brunawright176@sample.io. GPS 44.124916,-79.114653. Issue started today 08:15. Manager Ethan Morgan unable to approve. Timesheet shows 8.5h instead of 9.5h. Device Pixel 8 (OS iPadOS 17.4), app v8.8.7, network LTE. Error code NPE-UI-22. Ref:568-945",Reset session token and invalidated stale refresh token; please sign out/in and confirm timesheet sync in 10 minutes.,Incident,Times & Attendance,high,en,Session
Login loop after MFA for Hao Phillips...,"User Hao Phillips experienced an application crash on Samsung Galaxy S22 (OS iPadOS 17.4) when opening the Punch screen. Email haophillips283@sample.io / phone +1-653-915-1526. After MFA code 404582, the screen froze. Build v9.1.1, network Corporate VPN. Logs show error code CRASH-09. Occurred after daylight saving change. Ref:1299-240  Observed that sync completes after 10–15 min then reverts.","Enabled background refresh and pushed app config policy. If crash persists, send diagnostics via Settings -> Support.",Question,Mobile App & UI issues,low,en,Sync
